"text","n","stance"
"Paid protesters, where do they sign up for 300 a day",2,"Neutral"
"Paid protesters, where do they sign up for 300 a day",2,"Strong Disagreement"
"People better wake up",2,"Weak Agreement"
"People better wake up",2,"Strong Agreement"
"Perfect example of how the Mainstream Media aka """"Project Mockingbird"""", ensures their minority liberal narrative is never derailed by the majority of conservatives aka """"We The People"""". STOP ALL FORMS OF CENSORSHIP!
#MAGA",2,"Strong Agreement"
"Police state red flag? That’s a lot of paranoia, someone ask The Mr.s Hogg (father and son)if this is coincidence.",2,"Weak Agreement"
"protesters?..looks like an ad for merchandise sellers..",2,"Weak Disagreement"
"protesters?..looks like an ad for merchandise sellers..",2,"Weak Agreement"
"Proud of this young man",2,"Weak Agreement"
"Proud of this young man",2,"Strong Agreement"
"Question 
Why do you want 

The Real Woke Bro

To see this?",2,"Weak Agreement"
"Re. CNN, no surprise at all.",2,"Strong Agreement"
"Red flag",2,"Weak Agreement"
"Red flag",2,"Neutral"
"Reminds me of the time CNN scripted, coached, and directed a fake rally in London just like a Hollywood film crew. Also, their fake satellite remote where two correspondents pretended to speak to each other long distance via satellite but were in the same Phoenix parking lot.",2,"Strong Agreement"
"Reminds me of the time CNN scripted, coached, and directed a fake rally in London just like a Hollywood film crew. Also, their fake satellite remote where two correspondents pretended to speak to each other long distance via satellite but were in the same Phoenix parking lot.",2,"Neutral"
"Reported :)",2,"Weak Disagreement"
"Reported to twitter. Don’t you have anything better to do than target kids that survived a mass shooting only a week ago!  Trump $30 million and little Marco $3.3 million from NRA",2,"Strong Disagreement"
"Reptilians walk among us and have infiltrated all levels of govt & law enforcement. This was a reptoid false flag to disarm us. Kid comes from a reptilian lineage. I’m only slightly joking here.",2,"Strong Agreement"
"Reptilians walk among us and have infiltrated all levels of govt & law enforcement. This was a reptoid false flag to disarm us. Kid comes from a reptilian lineage. I’m only slightly joking here.",2,"Weak Disagreement"
"Says who that he was censored?",2,"Neutral"
"Shape the narrative.

In CNNs case it's also called shape the bullshit.",2,"Strong Agreement"
"Shape the narrative.

In CNNs case it's also called shape the bullshit.",2,"Weak Disagreement"
"So beautiful. I imagine a parent telling a child, """"Those are all people, honey.""""",2,"Weak Agreement"
"So beautiful. I imagine a parent telling a child, """"Those are all people, honey.""""",2,"Strong Agreement"
"So CNN was screening questions. Disgusting",2,"Neutral"
"So CNN was screening questions. Disgusting",2,"Strong Agreement"
"So for me, a critical thinker, I ask “If this guy is so coached, was he even there? Did this even happen the way they say?” The elaborate hoax of sandy hook(tons of evidence if you look)shows how low evil will go. #FalseFlag",2,"Strong Disagreement"
"So for me, a critical thinker, I ask “If this guy is so coached, was he even there? Did this even happen the way they say?” The elaborate hoax of sandy hook(tons of evidence if you look)shows how low evil will go. #FalseFlag",2,"Strong Agreement"
"So I guess they don't see the hypocrisy of pushing an agenda based on corporate sponsors, the exact thing they are supposedly fighting against... SMH!",2,"Strong Agreement"
"So Kids if you want your life controlled and be told what to say be a Democrat",2,"Neutral"
"So Kids if you want your life controlled and be told what to say be a Democrat",2,"Weak Agreement"
"So much for “grassroots.”",2,"Weak Agreement"
"So much for “grassroots.”",2,"Weak Disagreement"
"Someone is lying on Twitter, again.
Looking at you, Mike.",2,"Weak Agreement"
"Someone is lying on Twitter, again.
Looking at you, Mike.",2,"Strong Disagreement"
"Soros all over this one",2,"Neutral"
"Soros and Bezos always have blood on their hands",2,"Strong Agreement"
"Soros and Bezos always have blood on their hands",2,"Neutral"
"Soros funds people in UK, students, wife of fun manager Gina Miller, others funding any student who adopts their left lib rhetoric. Many all over twitter with cut paste arguments to stay in EU over many different personality types.",2,"Neutral"
"Soros is the most evil person. I hope Trump has a plan for him.",2,"Neutral"
"Soros is the most evil person. I hope Trump has a plan for him.",2,"Weak Agreement"
"SOROS puppets....",2,"Strong Agreement"
"Soros wants this country destroyed. Be careful whose water you carry!",2,"Neutral"
"Soros wants this country destroyed. Be careful whose water you carry!",2,"Weak Agreement"
"Soy boy",2,"Neutral"
"Soy boy",2,"Weak Agreement"
"Soyboys",2,"Strong Disagreement"
"Soyboys",2,"Neutral"
"Such BS",2,"Weak Agreement"
"Thank you for not being a CNN sheep Mr. Colton Haab.",2,"Strong Agreement"
"Thank you for not being a CNN sheep Mr. Colton Haab.",2,"Weak Agreement"
"Thank you. Vote Republican& #MAGA.",2,"Weak Agreement"
"That's how the MSM works... they do NOT give a rats ass about the TRUTH; just their BIASED version.",2,"Strong Agreement"
"That boy better study his script a little better.",2,"Weak Agreement"
"That boy better study his script a little better.",2,"Strong Agreement"
"That never happened. The students he supposedly saved don't even exist. They're fake characters. Invented to distract. And Haab doesn't go to that school, he's a professional crisis actor for the NRA. How about that?",2,"Strong Disagreement"
"That never happened. The students he supposedly saved don't even exist. They're fake characters. Invented to distract. And Haab doesn't go to that school, he's a professional crisis actor for the NRA. How about that?",2,"Weak Agreement"
"That’s because they found out he was a Fox News plant?",2,"Weak Disagreement"
"That’s because they found out he was a Fox News plant?",2,"Neutral"
"That’s just one example of why cnn is known as very fake news.",2,"Strong Agreement"
"That’s just one example of why cnn is known as very fake news.",2,"Weak Disagreement"
"The """"movement"""" has officially been hijacked.",2,"Neutral"
"The Citizen was guilty of WrongThink. It was right to suppress his WrongSpeech. He could have spread his WrongThink. The reeducation camps are very concentrated now. Should they become too full...",2,"Weak Agreement"
"The Citizen was guilty of WrongThink. It was right to suppress his WrongSpeech. He could have spread his WrongThink. The reeducation camps are very concentrated now. Should they become too full...",2,"Neutral"
"The gun industry and the NRA owe David Hogg and his minions a huge dept of gratitude. They have greatly increased gun sales and NRA memberships. Thanks Guys!!",2,"Strong Agreement"
"The gun industry and the NRA owe David Hogg and his minions a huge dept of gratitude. They have greatly increased gun sales and NRA memberships. Thanks Guys!!",2,"Weak Disagreement"
"The guy on the phone just announced the checks came in",2,"Neutral"
"The guy on the phone just announced the checks came in",2,"Strong Agreement"
"The kids know whats up. 

This is from 2/2016 - its not going to get better for establishment politicians. 

The Attitudes and Priorities of the Snapchat Generation

https://hosting.fyleio.com/12697/public/Snapchat%20Generation%20Release.pdf …",2,"Weak Agreement"
"The kids know whats up. 

This is from 2/2016 - its not going to get better for establishment politicians. 

The Attitudes and Priorities of the Snapchat Generation

https://hosting.fyleio.com/12697/public/Snapchat%20Generation%20Release.pdf …",2,"Strong Agreement"
"The left doing dirty work again",2,"Neutral"
"The left only cares about gun confiscation. They don’t care about saving lives.",2,"Strong Agreement"
"The left wing media clowns berate Trump for suggesting teachers with weapons is an option.  At the same time they universally call that idea ridiculous, 250 Ohio teachers enrolled in a defensive firearms program that had space for 50 students.",2,"Strong Agreement"
"The left wing media clowns berate Trump for suggesting teachers with weapons is an option.  At the same time they universally call that idea ridiculous, 250 Ohio teachers enrolled in a defensive firearms program that had space for 50 students.",2,"Neutral"
"The minute you heard there was a DC March, you knew Soros Cash was flowing and Van Jones is on the job, etc etc etc....",2,"Weak Agreement"
"The minute you heard there was a DC March, you knew Soros Cash was flowing and Van Jones is on the job, etc etc etc....",2,"Strong Agreement"
"The more silent voices of these teens is heard,ripping the media for thier arrogance and ripping the other suriviors about rabid gun control. I believe we'll be hearing more from them in the coming days. David and his outspoken friends Karma coming",2,"Weak Agreement"
"The more silent voices of these teens is heard,ripping the media for thier arrogance and ripping the other suriviors about rabid gun control. I believe we'll be hearing more from them in the coming days. David and his outspoken friends Karma coming",2,"Weak Disagreement"
"The real crisis actor is colton haab?",2,"Weak Disagreement"
"The real crisis actor is colton haab?",2,"Neutral"
"The teen’s father pulled him from the town hall appearance -Not CNN! Stop spreading fake news! So in reality the father censored his own son.",2,"Strong Disagreement"
"The White House did not allow anyone at their staged listening session to ask anything about the NRA.

This is who Trump censored.",2,"Strong Agreement"
"The White House did not allow anyone at their staged listening session to ask anything about the NRA.

This is who Trump censored.",2,"Weak Disagreement"
"The youngins saw 300$ and because they are young and stupid, said ‘let’s do this’. Come on Kids Do Not Be Bought  and NOT by Soros!  Parents Wake UP!",2,"Strong Agreement"
"Their being supported by globalists orgs ! Soros who destroys countries! Planned parenthood who kill millions of babies!",2,"Weak Agreement"
"There is no way kids go from eating Tide pods to organized activism without adult $ support.",2,"Neutral"
"There is no way kids go from eating Tide pods to organized activism without adult $ support.",2,"Weak Disagreement"
"There is no way kids go from eating Tide pods to organized activism without adult $ support.",2,"Strong Agreement"
"There should be a go fund me for this kid, he deserves something for being a brave young man and being on a path to be one of our nation's finest.",2,"Neutral"
"There should be a go fund me for this kid, he deserves something for being a brave young man and being on a path to be one of our nation's finest.",2,"Weak Agreement"
"There’s hope yet. This critical & logical thinker who can stand on his own two feet, will go far. Go JrROTC!",2,"Weak Agreement"
"There’s hope yet. This critical & logical thinker who can stand on his own two feet, will go far. Go JrROTC!",2,"Strong Agreement"
"These ?professional? student activists have the time of their lives, no apparent grieving, no trauma. Makes you wonder if they were actually at school at time of massacre or are actually enrolled at school. Big gifts and donations by famous companies and organizations.",2,"Weak Agreement"
"These happy imbeciles are actually celebrating the death of 17 of their colleagues and using the victims for their day of fame. Just look at their expressions. Instead of mourning, they are flying high with joy.",2,"Weak Agreement"
"These happy imbeciles are actually celebrating the death of 17 of their colleagues and using the victims for their day of fame. Just look at their expressions. Instead of mourning, they are flying high with joy.",2,"Strong Agreement"
"They all look so sad from losing classmates.",2,"Strong Agreement"
"They are sure jovial so soon after being in a shoot out.",2,"Strong Disagreement"
"They botched trying to the the election for killary, now,  this is plan B.",2,"Strong Agreement"
"They do not want our American people to know the truth.",2,"Strong Agreement"
"They got a Jet too",2,"Weak Agreement"
"They got a Jet too",2,"Strong Agreement"
"They just debunked this one too pizza clown.",2,"Weak Disagreement"
"They just debunked this one too pizza clown.",2,"Neutral"
"They look pretty tore up",2,"Strong Agreement"
"They look so HAPPY! Cause they don’t have to go to school?",1,"Strong Disagreement"
"They look so HAPPY! Cause they don’t have to go to school?",1,"Neutral"
"They look so HAPPY! Cause they don’t have to go to school?",1,"Weak Agreement"
"They look so HAPPY! Cause they don’t have to go to school?",1,"Weak Disagreement"
"They look so HAPPY! Cause they don’t have to go to school?",1,"Strong Agreement"
"They look so trauma stricken, poor kids. Thoughts & prayers...",2,"Neutral"
"They look so trauma stricken, poor kids. Thoughts & prayers...",2,"Weak Agreement"
"They need be dropped into USMC,boot camp for 90 days and get a taste of life! Odds on that 90% wouldn't make it a week!",2,"Neutral"
"They need be dropped into USMC,boot camp for 90 days and get a taste of life! Odds on that 90% wouldn't make it a week!",2,"Weak Disagreement"
"They probably had good intentions at the beginning but have no idea they've just been bought out. They are just paid talking heads from now on..",2,"Strong Agreement"
"They probably make the most $$ off anti-capitalism events LMAO",2,"Weak Agreement"
"Things will change. Teachers will be trained and armed to protect our students.",2,"Neutral"
"This is little Hogg. Daddy FBI is big Hogg!",2,"Neutral"
"This is little Hogg. Daddy FBI is big Hogg!",2,"Strong Agreement"
"This is why @CNN is going broke.",2,"Weak Disagreement"
"This is why it is not relevant. A fraud of a march.",2,"Weak Agreement"
"This is why this event occurred in Broward county- very leftist area. Perfect to carry out their agenda.",2,"Neutral"
"This is why this event occurred in Broward county- very leftist area. Perfect to carry out their agenda.",2,"Strong Agreement"
"This kid and another also armed themselves with a fire extinguisher and a two-by-four and planned on beating down the gunman if he came through the door to the classroom they were hiding in.  Some brave and smart kids.",2,"Weak Agreement"
"This kid is hope for the future.",2,"Weak Agreement"
"This kid is hope for the future.",2,"Strong Agreement"
"This picture was early, maybe around 11:30? I was at the Navy Memorial and by 12:30 it was WAY more packed with people than this picture shows. I saw one report of over 1 million - don't know who makes the final call on that.",2,"Strong Agreement"
"This will be shocking for Lucian, I know, but most interviewees being recorded get multiple cracks to say what they want to say because most people are, uh, nervous ordinary citizens.",2,"Weak Disagreement"
"Time for #GunContolNow",2,"Strong Agreement"
"To all of you people that are blaming Trump------- And how many mass shootings happened under your god Obama? Exactly how did he stop them? WAITING!",2,"Weak Agreement"
"To everyone that is saying that he is traumatized and can't speak clearly. This """"kid"""" made a video thast was supposedly during the shooting and he never messed up while speaking one time then.

Also, does the interviewer say """"just say, i can't put it in perspective.""""?",2,"Weak Disagreement"
"To everyone that is saying that he is traumatized and can't speak clearly. This """"kid"""" made a video thast was supposedly during the shooting and he never messed up while speaking one time then.

Also, does the interviewer say """"just say, i can't put it in perspective.""""?",2,"Weak Agreement"
"To sell T-shirts, Zippy",2,"Neutral"
"To sell T-shirts, Zippy",2,"Weak Disagreement"
"Today assault rifles
TOMORROW right to assemble
Then our right to worship on an on",2,"Strong Agreement"
"Too busy to even answer that one.",2,"Neutral"
"Typical CNN playing only the news they want to let on. Manipulators!",2,"Strong Agreement"
"Typical CNN playing only the news they want to let on. Manipulators!",2,"Weak Agreement"
"U know that DIMS & RINOS HATE HATE HATE anybody who practices SELF-DEFENSE again MURDEROUS DIM HESSIANS.
DIMS voraciously defend their rapists & murderers against EVERY  MEASURE of DEFENSE.
That's why they BLOCKED Capital Punishment back in 1963
U've BEEN n DENIAL EVER SINCE THEN",2,"Strong Disagreement"
"U know that DIMS & RINOS HATE HATE HATE anybody who practices SELF-DEFENSE again MURDEROUS DIM HESSIANS.
DIMS voraciously defend their rapists & murderers against EVERY  MEASURE of DEFENSE.
That's why they BLOCKED Capital Punishment back in 1963
U've BEEN n DENIAL EVER SINCE THEN",2,"Weak Agreement"
"utterly ridiculous,,,,",2,"Weak Disagreement"
"Very proud of both of you My son and 2 adopted sons and their sister were in JROTC at North HS one of the most decorated in USA but you have something they do not Kevlar curtain. I will make sure that your ingenuity is known to JROTC students here in CA",2,"Neutral"
"Vote them out!",2,"Weak Agreement"
"Vote them out!",2,"Strong Agreement"
"way to do the troll farm's work for them",2,"Weak Agreement"
"We believed it.Many still don’t get how evil it has all http://become.It ’s beyond their wildest imagination.I have a great imagination that ends up being the truth cuz all you really need to do is carry out the evil path further and further.Thats what is happening in US!",2,"Neutral"
"We believed it.Many still don’t get how evil it has all http://become.It ’s beyond their wildest imagination.I have a great imagination that ends up being the truth cuz all you really need to do is carry out the evil path further and further.Thats what is happening in US!",2,"Weak Agreement"
"Well we sorta already knew that...with Hillary and all you know?",2,"Weak Agreement"
"Well well well, not surprised, Soros has his hand in anything that will bring the downfall of Americaalong with our corrupt media.",2,"Strong Agreement"
"Well well well, not surprised, Soros has his hand in anything that will bring the downfall of Americaalong with our corrupt media.",2,"Neutral"
"Well, I guess we have an answer to our suspicions now don't we. Pathetic that @CNN is always churning the wheels to make news instead of reporting it.",2,"Weak Agreement"
"Well, I guess we have an answer to our suspicions now don't we. Pathetic that @CNN is always churning the wheels to make news instead of reporting it.",2,"Strong Agreement"
"Well, that's what grieving people look like!",2,"Weak Agreement"
"Well, they've realized Americans don't care what celebrities think. So now they're banking on these kids to do their work for them. Using people's raw emotions to get them on board the ban guns bandwagon.",2,"Weak Agreement"
"Well, they've realized Americans don't care what celebrities think. So now they're banking on these kids to do their work for them. Using people's raw emotions to get them on board the ban guns bandwagon.",2,"Strong Agreement"
"What are these so called #Parkland students so happy about? Free flights, paid protests, #FakeNewsMedia 15 mins of fame, press conferences. Yeah not really traumatized but REAL students DIED! #props #lies #NOvideos",2,"Neutral"
"What are these so called #Parkland students so happy about? Free flights, paid protests, #FakeNewsMedia 15 mins of fame, press conferences. Yeah not really traumatized but REAL students DIED! #props #lies #NOvideos",2,"Strong Agreement"
"What if i told you i can stop gun violence in America? You'd say BS. Right? But i can do it without gun laws nor BS legislation. I have designed groundbreaking safety devices that WILL trap shooters and segregate them from other people. My iventions are simple and will do it.",2,"Neutral"
"When are you going to jail and will they keep you off the internet?",2,"Weak Disagreement"
"When are you going to jail and will they keep you off the internet?",2,"Neutral"
"When they care about Chicago let us know.  Watch, they will be shooting each other when they meet up.",2,"Strong Agreement"
"When they care about Chicago let us know.  Watch, they will be shooting each other when they meet up.",2,"Strong Disagreement"
"When they deny someone an interview, it's ok, But when Trump denies them an interview and call them fake news, It's denying them their amendment rights and they go REEEEEEEEEEE.",2,"Strong Agreement"
"Where's my money????",2,"Neutral"
"Where was David Hogg when the page was blank, he didn't notice the red flags or know how to report a threat? Where did he learn that at home?",2,"Strong Agreement"
"Where were these people during Obama Pres.!!!????",2,"Weak Agreement"
"While their classmates are being buried they're flying first class and raking in the dough.",2,"Neutral"
"While their classmates are being buried they're flying first class and raking in the dough.",2,"Weak Agreement"
"Who paid? SHOULD BE ILLEGAL!",2,"Weak Disagreement"
"Who thinks this garbage up ?",1,"Strong Agreement"
"Who thinks this garbage up ?",1,"Strong Disagreement"
"Who thinks this garbage up ?",1,"Weak Agreement"
"Who thinks this garbage up ?",1,"Weak Disagreement"
"Who thinks this garbage up ?",1,"Neutral"
"Why is media circling wagons on any criticism of leftist Parkland students?  

The left hopes to grow #Parkland into a national movement.  

Template: Mao's Cultural Revolution and the Chinese Red Guards #tcot https://www.britannica.com/topic/Red-Guards … …",2,"Weak Agreement"
"Why was CNN allowed there at all?  Hasn’t their press credentials been revoked by now?",2,"Weak Disagreement"
"Why was CNN allowed there at all?  Hasn’t their press credentials been revoked by now?",2,"Weak Agreement"
"Why would the FBI not use it to save face after dropping the ball? These people are stupid.",2,"Strong Agreement"
"wow when the kids that marched for less than $300.00 find out they're gonnna be pissed.",2,"Weak Disagreement"
"Wow you have your people trained...bullshitting heartfelt tweets..meanwhile hardcore Trump followers",2,"Weak Disagreement"
"Wow!  Why hasn’t this kid been interviewed?  What an amazing student.",2,"Neutral"
"Wow! Soros is at the root of much of the chaos in America! Of course, those who know about the evil he sows here & around the world suspected he may have ties to this tragedy. It’s obvious his people helped organize the protests w/those child activists. This is CRAZY!",2,"Strong Agreement"
"Wow! Soros is at the root of much of the chaos in America! Of course, those who know about the evil he sows here & around the world suspected he may have ties to this tragedy. It’s obvious his people helped organize the protests w/those child activists. This is CRAZY!",2,"Weak Agreement"
"Wow, they look positively grief stricken",2,"Neutral"
"Wow, they look positively grief stricken",2,"Weak Agreement"
"Wow, who paid them? Democrats and Hollywood liberal?",2,"Weak Agreement"
"Wow,they sure look traumatized...",2,"Strong Disagreement"
"Wow,they sure look traumatized...",2,"Neutral"
"Wow. It’s even worse than I dared to believe.",2,"Weak Disagreement"
"Wow. It’s even worse than I dared to believe.",2,"Strong Agreement"
"Wowww - look at that, imprint it on your brain and in your heart.  ",2,"Weak Agreement"
"Wowww - look at that, imprint it on your brain and in your heart.  ",2,"Neutral"
"WTF are you talking about? @Oprah @TheEllenShow George and Amal Clooney, @gucci -are evil left wing conspirators? Shut up already and stop bad mouthing these kids for drawing support for their point of view. Stop attacking . Stop dividing. You want to march with the @NRA go ahead",2,"Strong Disagreement"
"WTF are you talking about? @Oprah @TheEllenShow George and Amal Clooney, @gucci -are evil left wing conspirators? Shut up already and stop bad mouthing these kids for drawing support for their point of view. Stop attacking . Stop dividing. You want to march with the @NRA go ahead",2,"Neutral"
"Yeah and Fox didnt even let him state his question @TuckerCarlson",2,"Weak Disagreement"
"Yeah they do this every protest! I used to have a pic of 1 of the ads",2,"Weak Agreement"
"Yeah they do this every protest! I used to have a pic of 1 of the ads",2,"Strong Agreement"
"Yeah, know where fox got that? Daily caller, Ben Shapiro lmao. Both are totally credible ",1,"Weak Disagreement"
"Yeah, know where fox got that? Daily caller, Ben Shapiro lmao. Both are totally credible ",1,"Strong Disagreement"
"Yeah, know where fox got that? Daily caller, Ben Shapiro lmao. Both are totally credible ",1,"Strong Agreement"
"Yeah, know where fox got that? Daily caller, Ben Shapiro lmao. Both are totally credible ",1,"Weak Agreement"
"Yeah, know where fox got that? Daily caller, Ben Shapiro lmao. Both are totally credible ",1,"Neutral"
"Yep another video taken down by the powers that be! Why don’t you mind your business and let me decide if it’s ok for me to watch! I assume that if it’s ok fake news msm to put on the 6:00 news it should be ok for twitter???? SMDH!",2,"Weak Agreement"
"Yep another video taken down by the powers that be! Why don’t you mind your business and let me decide if it’s ok for me to watch! I assume that if it’s ok fake news msm to put on the 6:00 news it should be ok for twitter???? SMDH!",2,"Neutral"
"Yep it’s called controlling the narrative CNN sucks",2,"Weak Disagreement"
"Yep it’s called controlling the narrative CNN sucks",2,"Strong Agreement"
"Yes they do along with Bill Gates !! 2.9 Million in funds !! That have to be stopped !",2,"Strong Agreement"
"Yes they do along with Bill Gates !! 2.9 Million in funds !! That have to be stopped !",2,"Neutral"
"Yes together you are very powerful but all of your effort will be useless unless you get your 18 year-old voters registered for midterm election and vote the #Republicans party out of power they are the #NRA friends then you will win!",2,"Strong Agreement"
"Yes together you are very powerful but all of your effort will be useless unless you get your 18 year-old voters registered for midterm election and vote the #Republicans party out of power they are the #NRA friends then you will win!",2,"Weak Agreement"
"Yo dawg, you caught some capitalism red handed. Nothing else to see here.",2,"Neutral"
"Yo dawg, you caught some capitalism red handed. Nothing else to see here.",2,"Weak Agreement"
"You do realize this kid will now be vilified by the left for speaking out.",2,"Weak Agreement"
"You don't think @Cnn would leave this up to amateurs, do you?",2,"Strong Agreement"
"You guys can’t negotiate.  I was paid $1,000",2,"Weak Agreement"
"You guys can’t negotiate.  I was paid $1,000",2,"Neutral"
"You have some nerve. Trump can’t zip his own fly up without help.",1,"Strong Agreement"
"You have some nerve. Trump can’t zip his own fly up without help.",1,"Strong Disagreement"
"You have some nerve. Trump can’t zip his own fly up without help.",1,"Weak Disagreement"
"You have some nerve. Trump can’t zip his own fly up without help.",1,"Weak Agreement"
"You have some nerve. Trump can’t zip his own fly up without help.",1,"Neutral"
"You meant 200,000, right?",2,"Strong Disagreement"
"You meant 200,000, right?",2,"Weak Disagreement"
"You must fit the CNN Communist News Network  narrative Dear",2,"Weak Disagreement"
"You must fit the CNN Communist News Network  narrative Dear",2,"Strong Agreement"
"You need professional help @lucianwintrich ... sooner than later",2,"Weak Disagreement"
"You sound like the kid who got bullied by drama kids in high school. Lol",2,"Neutral"
"You’re a conspiracy thorist and have no credibility. And not even a real journalist. 
Btw, did you hear? Colton Haas’
Dad admitted to doctoring the email exchanges with CNN? 

Your continual attacks on @NeverAgainMSD makes you seem jealous & envious of their influence.",1,"Weak Disagreement"
"You’re a conspiracy thorist and have no credibility. And not even a real journalist. 
Btw, did you hear? Colton Haas’
Dad admitted to doctoring the email exchanges with CNN? 

Your continual attacks on @NeverAgainMSD makes you seem jealous & envious of their influence.",1,"Strong Agreement"
"You’re a conspiracy thorist and have no credibility. And not even a real journalist. 
Btw, did you hear? Colton Haas’
Dad admitted to doctoring the email exchanges with CNN? 

Your continual attacks on @NeverAgainMSD makes you seem jealous & envious of their influence.",1,"Strong Disagreement"
"You’re a conspiracy thorist and have no credibility. And not even a real journalist. 
Btw, did you hear? Colton Haas’
Dad admitted to doctoring the email exchanges with CNN? 

Your continual attacks on @NeverAgainMSD makes you seem jealous & envious of their influence.",1,"Weak Agreement"
"You’re a conspiracy thorist and have no credibility. And not even a real journalist. 
Btw, did you hear? Colton Haas’
Dad admitted to doctoring the email exchanges with CNN? 

Your continual attacks on @NeverAgainMSD makes you seem jealous & envious of their influence.",1,"Neutral"
"You’re full of crap. They helped him organize his thoughts so he could confront the Dem senator with his pro-gun question. Get the facts right.",2,"Weak Agreement"
"You’re full of crap. They helped him organize his thoughts so he could confront the Dem senator with his pro-gun question. Get the facts right.",2,"Strong Disagreement"
